[DeviceInfo-1] SerialNumber updated (direct match): 'LBNKIATNW235012345' → 'LBNKIASRC243920029'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1/IntraFreqCellReselectionInfo-1] Offset updated (direct match): '19' → '1'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1/IntraFreqCellReselectionInfo-1] QRxLevMin updated (direct match): '-58' → '-55'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1/IntraFreqCellReselectionInfo-1] SsbBitmapTypen updated (direct match): 'MediumBitmap' → 'ShortBitmap'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1/IntraFreqCellReselectionInfo-1] TReselectionNr updated (direct match): '2' → '1'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1/IntraFreqCellReselectionInfo-1/FrequencyBands-1/NrMultiBandInfos-1] NrMultiBandInfoIndex updated (direct match): '3' → '1'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1/IntraFreqCellReselectionInfo-1/FrequencyBands-1/NrMultiBandInfos-1/NrNsPmaxs-1] AdditionalSpectrumEmission updated (direct match): '2' → '3'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1/IntraFreqCellReselectionInfo-1/FrequencyBands-1/NrMultiBandInfos-1/NrNsPmaxs-1] PMax updated (direct match): '10' → '3'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1/IntraFreqCellReselectionInfo-1/FrequencyBands-1/NrMultiBandInfos-1/NrNsPmaxs-1] SparePara1 updated (direct match): 'x' → '123'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1/IntraFreqCellReselectionInfo-1/SIntraSearchQ-1] ReselectionThresholdQValue updated (direct match): '3' → '5'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1/IntraFreqCellReselectionInfo-1/SpeedScaleFactors-1] SfMediumn updated (direct match): 'oDot75' → 'oDot5'
[Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/SrbCfg-1/SrbCfgInfo-1] SparePara1 updated (direct match): 'x' → '123'
[Services-1/FAPService-1/CellConfig-1/NR-1/DU-1] NumberOfCells updated (direct match): '2' → '1'
[Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1] ArfcnSUL updated (direct match): '0' → '207941'
[Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1] BWPNumberOfEntries updated (direct match): '0' → '1'
[Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1] DeploymentMode updated (direct match): 'NSA' → 'SA'
[Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1] Id updated (direct match): 'x' → '1'
[Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1] MaxNumRnti updated (direct match): '128' → '165'
[Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1] NRPCI updated (direct match): '1' → '595'
[Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1] NRTACn updated (direct match): '1' → '6111'
[Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1] OperationalStaten updated (direct match): 'disabled' → 'enabled'
[Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1] PdcchDmrsScramblingID updated (direct match): '25' → '83'
[Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1] PdschDataScramblingID updated (direct match): '25' → '83'
