Comparison Summary
Metric,Value
Total in Base Version,307
Total in Update Version,268
New Objects,60
Deprecated Objects,99

New Objects
Key,Class,DistName
FaultMgmt-1/SupportedAlarm-22,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-22
FaultMgmt-1/SupportedAlarm-23,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-23
FaultMgmt-1/SupportedAlarm-24,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-24
FaultMgmt-1/SupportedAlarm-25,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-25
FaultMgmt-1/SupportedAlarm-26,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-26
FaultMgmt-1/SupportedAlarm-27,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-27
FaultMgmt-1/SupportedAlarm-28,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-28
FaultMgmt-1/SupportedAlarm-29,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-29
FaultMgmt-1/SupportedAlarm-30,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-30
FaultMgmt-1/SupportedAlarm-31,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-31
FaultMgmt-1/SupportedAlarm-32,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-32
FaultMgmt-1/SupportedAlarm-33,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-33
FaultMgmt-1/SupportedAlarm-34,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-34
FaultMgmt-1/SupportedAlarm-35,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-35
FaultMgmt-1/SupportedAlarm-36,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-36
FaultMgmt-1/SupportedAlarm-37,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-37
FaultMgmt-1/SupportedAlarm-38,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-38
FaultMgmt-1/SupportedAlarm-39,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-39
FaultMgmt-1/SupportedAlarm-40,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-40
FaultMgmt-1/SupportedAlarm-41,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-41
FaultMgmt-1/SupportedAlarm-42,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-42
FaultMgmt-1/SupportedAlarm-43,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-43
FaultMgmt-1/SupportedAlarm-44,com.nokia.aiosc:SupportedAlarm,PLMN-PLMN/AIOSC-6000039/Device-1/FaultMgmt-1/SupportedAlarm-44
Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/CipheringAlgorithm-2,com.nokia.aiosc:CipheringAlgorithm,PLMN-PLMN/AIOSC-6000039/Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/CipheringAlgorithm-2
Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/CipheringAlgorithm-3,com.nokia.aiosc:CipheringAlgorithm,PLMN-PLMN/AIOSC-6000039/Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/CipheringAlgorithm-3
Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/IntegrityProtAlgorithm-2,com.nokia.aiosc:IntegrityProtAlgorithm,PLMN-PLMN/AIOSC-6000039/Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/IntegrityProtAlgorithm-2
Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/IntegrityProtAlgorithm-3,com.nokia.aiosc:IntegrityProtAlgorithm,PLMN-PLMN/AIOSC-6000039/Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/IntegrityProtAlgorithm-3
