AIOSC Merge Report
Generated,2025-07-09T16:31:00

Metric,Count
Objects in BASE (Original),307
Objects in FINAL (Merged),368
NEW (from Skeletal),61
CARRIED (from Base),99
COMMON (shared & modified),208
DEPRECATED (removed from Base),0

Class,DistName,Status
com.nokia.aiosc:DrxConfigDataSpecific,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/DrxConfig-1/DrxConfigDataSpecific-1,COMMON
com.nokia.aiosc:DrxConfigInterRatAnrSpecific,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/DrxConfig-1/DrxConfigInterRatAnrSpecific-1,COMMON
com.nokia.aiosc:DrxInfo,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/DrxInfo-1,COMMON
com.nokia.aiosc:DuCellAlarm,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/DuCellAlarm-1,COMMON
com.nokia.aiosc:DuId,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/DuId-1,COMMON
com.nokia.aiosc:E2AP,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/TimerConfig-1/E2AP-1,COMMON
com.nokia.aiosc:EPF1C,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XDU-1/EPF1C-1,COMMON
com.nokia.aiosc:EPF1U,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/EPF1U-1,NEW
com.nokia.aiosc:EPF1UXDU,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XDU-1/EPF1UXDU-1,COMMON
com.nokia.aiosc:EPNGC,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/EPNGC-1,COMMON
com.nokia.aiosc:EPNGC,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/EPNGC-2,CARRIED
com.nokia.aiosc:EPNGU,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/EPNGU-1,COMMON
com.nokia.aiosc:EPS1U,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/EPS1U-1,COMMON
com.nokia.aiosc:EPX2U,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/EPX2U-1,COMMON
com.nokia.aiosc:EPXNU,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/EPXNU-1,COMMON
com.nokia.aiosc:EUtranCellRelation,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranCellRelation-1,NEW
com.nokia.aiosc:EUtranFreqRelation,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFreqRelation-1,NEW
com.nokia.aiosc:EUtranFrequency,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EUtranFrequency-1,NEW
com.nokia.aiosc:EmergencyAreaId,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EmergencyAreaId-1,COMMON
com.nokia.aiosc:Ethernet,Device-1/Ethernet-1,COMMON
com.nokia.aiosc:EutraCuUpConfig,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/EutraCuUpConfig-1,COMMON
com.nokia.aiosc:EutraQosCfg,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/EutraQosCfg-1,COMMON
com.nokia.aiosc:EutraQosGrp,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/DU-1/NRCellDU-1/RlcCfg-1/EutraQosGrp-1,COMMON
com.nokia.aiosc:EutraQosPrioritizationInfo,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/EutraQosPrioritizationInfo-1,COMMON
com.nokia.aiosc:EutraRedirectionInfo,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/EutraRedirectionInfo-1,COMMON
com.nokia.aiosc:Event,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/Event-1,COMMON
com.nokia.aiosc:EventIRAT,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportConfigInterRAT-1/EventTriggerConfigInterRAT-1/EventIRAT-1,COMMON
com.nokia.aiosc:EventReportList,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1,COMMON
com.nokia.aiosc:EventTrigger,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1,COMMON
com.nokia.aiosc:EventTriggerConfig,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1,COMMON
com.nokia.aiosc:EventTriggerConfigInterRAT,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportConfigInterRAT-1/EventTriggerConfigInterRAT-1,COMMON
com.nokia.aiosc:EventreportQuantityCell,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/ReportConfigInfo-1/ReportCfgNr-1/EventTrigger-1/EventTriggerConfig-1/EventReportList-1/EventreportQuantityCell-1,COMMON
com.nokia.aiosc:ExternalENBFunction,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalENBFunction-1,NEW
com.nokia.aiosc:ExternalEUtranCell,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalENBFunction-1/ExternalEUtranCell-1,NEW
com.nokia.aiosc:ExternalGNBCUFunction,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalGNBCUFunction-1,NEW
com.nokia.aiosc:ExternalNRCellCU,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalGNBCUFunction-1/ExternalNRCellCU-1,NEW
com.nokia.aiosc:F1AP,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/TimerConfig-1/F1AP-1,COMMON
com.nokia.aiosc:F1CAlarm,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XDU-1/F1CAlarm-1,COMMON
com.nokia.aiosc:FAP,Device-1/FAP-1,COMMON
com.nokia.aiosc:FAPService,Device-1/Services-1/FAPService-1,COMMON
com.nokia.aiosc:FDD,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/ExternalENBFunction-1/ExternalEUtranCell-1/FDD-1,NEW
com.nokia.aiosc:FaultMgmt,Device-1/FaultMgmt-1,COMMON
com.nokia.aiosc:FrequencyBands,Device-1/Services-1/FAPService-1/CellConfig-1/NR-1/CU-1/NRCellCU-1/Sib2ConfigInfo-1/IntraFreqCellReselectionInfo-1/FrequencyBands-1,COMMON
com.nokia.aiosc:FullIrnti,Device-1/Services-1/X_Nokia_BSR-1/HgNB-1/XCU-1/FullIrnti-1,COMMON
com.nokia.aiosc:GPS,Device-1/FAP-1/GPS-1,COMMON
com.nokia.aiosc:GatewayInfo,Device-1/GatewayInfo-1,COMMON
